-0.158 +0.418 +0.956
-0.154 +0.439 +0.964
-0.144 +0.490 +0.982
-0.155 +0.455 +0.978
-0.163 +0.431 +0.970
-0.156 +0.452 +0.922
-0.172 +0.422 +0.990
-0.198 +0.305 +0.973
-0.224 +0.288 +0.942
-0.226 +0.299 +0.972
-0.229 +0.327 +0.998
-0.226 +0.418 +0.870
-0.225 +0.383 +0.897
-0.237 +0.359 +0.935
-0.920 +0.466 +0.433
-0.888 +0.566 +0.342
-0.842 +0.516 +0.304
-0.817 +0.516 +0.370
-0.805 +0.511 +0.337
-0.794 +0.390 +0.286
-0.802 +0.260 +0.306
-0.803 +0.053 +0.303
-0.746 -0.320 +0.344
-0.692 -0.292 +0.358
-0.595 -0.177 +0.333
-0.418 +0.248 +0.312
-0.362 +0.328 +0.316
-0.332 +0.248 +0.503
-0.194 -0.148 +1.030
-0.066 -0.034 +1.158
+0.131 +0.472 +1.280
+0.400 +1.442 +0.980
+0.410 +1.536 +0.856
+0.399 +1.658 +0.815
+0.340 +1.752 +0.786
+0.325 +1.727 +0.772
+0.295 +1.595 +0.695
+0.260 +1.180 +0.436
+0.279 +1.067 +0.455
+0.322 +0.977 +0.508
+0.400 +0.780 +0.502
+0.404 +0.762 +0.583
+0.380 +0.658 +0.709
+0.294 +0.508 +0.944
+0.253 +0.484 +0.953
+0.208 +0.445 +1.025
+0.042 +0.240 +1.198
+0.006 +0.279 +1.173
-0.029 +0.334 +1.182
-0.140 +0.220 +1.264
-0.168 +0.234 +1.191
-0.195 +0.243 +1.170
-0.214 +0.328 +1.048
-0.216 +0.346 +1.015
-0.212 +0.352 +0.960
-0.200 +0.424 +0.914
-0.184 +0.481 +0.858
-0.185 +0.492 +0.863
-0.186 +0.496 +0.896
-0.200 +0.506 +0.883
-0.211 +0.519 +0.879
-0.132 +0.950 +0.796
-0.186 +0.591 +0.890
-0.211 +0.467 +0.811
-0.262 +0.408 +0.840
-0.267 +0.435 +0.872
-0.280 +0.459 +0.886
-0.274 +0.474 +0.876
-0.271 +0.464 +0.881
-0.278 +0.436 +0.903
-0.322 +0.446 +0.894
-0.773 +0.482 +0.425
-0.765 +0.443 +0.381
-0.738 +0.326 +0.430
-0.729 +0.347 +0.438
-0.724 +0.442 +0.433
-0.690 +0.578 +0.404
-0.701 +0.463 +0.351
-0.712 +0.284 +0.304
-0.696 -0.104 +0.408
-0.664 -0.191 +0.489
-0.581 -0.159 +0.525
-0.374 +0.100 +0.692
